id	marque 	modele  	prix_km	prix 	kilometrage	annee     	couleur     	transmission  	Roues motrices	nom_vendeur              	adresse_vendeur                        	Puissance	Cylindrée	carburant	url                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  	ref                    	
11	APRILIA	Tuono   	188.788	18690	99  	2023-03-01	black       	manual        	rear      	Gatti HMT aprilia racing 	Safenwilerstrasse 5, Kölliken          	9	1078	petrol  	https://www.motoscout24.ch/fr/d/aprilia-tuono-carenage-partiel-2023-demonstration?vehid=10454015&accountid=1187388&backurl=%2Fmotos%2Faprilia--tuono%3Fyearfrom%3D2021%26ccmfrom%3D1000%26make%3D93%26model%3D1259%26typename%3Dfact&yearfrom=2021&ccmfrom=1000&make=93&model=1259&typename=fact&vehtype=60&eventLabel=vehiclePosition%3A16%20%7C%20sortingOption%3Ano_sort&packageName=member%3Ams24_professional&sortingPosition=16                                                	ATuo99black1078        	bike	
12	APRILIA	Tuono   	21195  	21195	1   	2023-08-01	black       	manual        	rear      	Biker's Life             	Industriestrasse 14, Dietlikon         	9	1077	petrol  	https://www.motoscout24.ch/fr/d/aprilia-tuono-carenage-partiel-2023-vehicule-neuf?vehid=10397610&accountid=65309&backurl=%2Fmotos%2Faprilia--tuono%3Fyearfrom%3D2021%26ccmfrom%3D1000%26make%3D93%26model%3D1259%26typename%3Dfact&yearfrom=2021&ccmfrom=1000&make=93&model=1259&typename=fact&vehtype=60&eventLabel=vehiclePosition%3A18%20%7C%20sortingOption%3Ano_sort&packageName=member%3Ams24_professional&sortingPosition=18                                                  	ATuo1black1077         	bike	
13	APRILIA	Tuono   	6.393  	17900	2800	2022-06-01	black       	manual        	rear      	Keller Motos AG          	Industriestrasse 17, Siggenthal Station	9	1078	petrol  	https://www.motoscout24.ch/fr/d/aprilia-tuono-carenage-partiel-2022-occasion?vehid=10197995&accountid=65272&backurl=%2Fmotos%2Faprilia--tuono%3Fyearfrom%3D2021%26ccmfrom%3D1000%26make%3D93%26model%3D1259%26typename%3Dfact%26page%3D2&yearfrom=2021&ccmfrom=1000&make=93&model=1259&typename=fact&page=2&vehtype=60&eventLabel=vehiclePosition%3A21%20%7C%20sortingOption%3Ano_sort&packageName=member%3Ams24_professional&sortingPosition=21                                     	ATuo2800black1078      	bike	
14	APRILIA	Tuono   	4239   	21195	5   	2023-12-01	red         	manual        	rear      	Hans Leupi GmbH          	Luzernerstrasse 38, Meggen             	9	1078	petrol  	https://www.motoscout24.ch/fr/d/aprilia-tuono-carenage-partiel-2023-vehicule-neuf?vehid=10100590&accountid=68471&backurl=%2Fmotos%2Faprilia--tuono%3Fyearfrom%3D2021%26ccmfrom%3D1000%26make%3D93%26model%3D1259%26typename%3Dfact%26page%3D2&yearfrom=2021&ccmfrom=1000&make=93&model=1259&typename=fact&page=2&vehtype=60&eventLabel=vehiclePosition%3A22%20%7C%20sortingOption%3Ano_sort&packageName=member%3Ams24_professional&sortingPosition=22                                	ATuo5red1078           	bike	
15	APRILIA	Tuono   	13.3   	19950	1500	2022-12-01	black       	manual        	rear      	WTS automobiles          	Rue de l'Ouriette 142, Aubonne         	9	1078	petrol  	https://www.motoscout24.ch/fr/d/aprilia-tuono-carenage-partiel-2022-demonstration?vehid=10032928&accountid=64726&backurl=%2Fmotos%2Faprilia--tuono%3Fyearfrom%3D2021%26ccmfrom%3D1000%26make%3D93%26model%3D1259%26typename%3Dfact%26page%3D2&yearfrom=2021&ccmfrom=1000&make=93&model=1259&typename=fact&page=2&vehtype=60&eventLabel=vehiclePosition%3A26%20%7C%20sortingOption%3Ano_sort&packageName=member%3Ams24_professional&sortingPosition=26                                	ATuo1500black1078      	bike	
16	APRILIA	Tuono   	4239   	21195	5   	2023-12-01	multicolored	manual        	rear      	Hans Leupi GmbH          	Luzernerstrasse 38, Meggen             	9	1078	petrol  	https://www.motoscout24.ch/fr/d/aprilia-tuono-carenage-partiel-2023-vehicule-neuf?vehid=10016336&accountid=68471&backurl=%2Fmotos%2Faprilia--tuono%3Fyearfrom%3D2021%26ccmfrom%3D1000%26make%3D93%26model%3D1259%26typename%3Dfact%26page%3D2&yearfrom=2021&ccmfrom=1000&make=93&model=1259&typename=fact&page=2&vehtype=60&eventLabel=vehiclePosition%3A27%20%7C%20sortingOption%3Ano_sort&packageName=member%3Ams24_professional&sortingPosition=27                                	ATuo5multicolored1078  	bike	
17	APRILIA	Tuono   	4239   	21195	5   	2022-09-01	black       	manual        	rear      	Hans Leupi GmbH          	Luzernerstrasse 38, Meggen             	9	1078	petrol  	https://www.motoscout24.ch/fr/d/aprilia-tuono-carenage-partiel-2021-vehicule-neuf?vehid=9832431&accountid=68471&backurl=%2Fmotos%2Faprilia--tuono%3Fyearfrom%3D2021%26ccmfrom%3D1000%26make%3D93%26model%3D1259%26typename%3Dfact%26page%3D2&yearfrom=2021&ccmfrom=1000&make=93&model=1259&typename=fact&page=2&vehtype=60&eventLabel=vehiclePosition%3A28%20%7C%20sortingOption%3Ano_sort&packageName=member%3Ams24_professional&sortingPosition=28                                 	ATuo5black1078         	bike	
18	APRILIA	Tuono   	39.8   	19900	500 	2023-05-01	red         	manual        	rear      	Garage & Carrosserie Brut	Route de Sion 79, Sierre               	9	1078	petrol  	https://www.motoscout24.ch/fr/d/aprilia-tuono-carenage-partiel-2021-demonstration?vehid=9686010&accountid=64370&backurl=%2Fmotos%2Faprilia--tuono%3Fyearfrom%3D2021%26ccmfrom%3D1000%26make%3D93%26model%3D1259%26typename%3Dfact%26page%3D2&yearfrom=2021&ccmfrom=1000&make=93&model=1259&typename=fact&page=2&vehtype=60&eventLabel=vehiclePosition%3A29%20%7C%20sortingOption%3Ano_sort&packageName=member%3Ams24_professional&sortingPosition=29                                 	ATuo500red1078         	bike	
19	APRILIA	Tuono   	123.267	18490	150 	2022-02-01	black       	manual        	rear      	Gatti HMT aprilia racing 	Safenwilerstrasse 5, Kölliken          	9	1078	petrol  	https://www.motoscout24.ch/fr/d/aprilia-tuono-carenage-partiel-2022-vehicule-neuf-avec-immatriculation-d-un-jour?vehid=9344339&accountid=1187388&backurl=%2Fmotos%2Faprilia--tuono%3Fyearfrom%3D2021%26ccmfrom%3D1000%26make%3D93%26model%3D1259%26typename%3Dfact%26page%3D2&yearfrom=2021&ccmfrom=1000&make=93&model=1259&typename=fact&page=2&vehtype=60&eventLabel=vehiclePosition%3A32%20%7C%20sortingOption%3Ano_sort&packageName=member%3Ams24_professional&sortingPosition=32	ATuo150black1078       	bike	
20	YAMAHA 	MT-09   	1.248  	7990 	6400	2020-08-01	gray        	manual        	rear      	Odermatt Motos Luzern Gmb	Schrotmättli 13, Luzern                	9	847 	petrol  	https://www.motoscout24.ch/fr/d/yamaha-mt-09--2020-occasion?vehid=10755337&accountid=65247&backurl=%2Fmotos%2Fyamaha--mt-09%3Fyearfrom%3D2017%26kmto%3D10000%26yearto%3D2020%26make%3D195%26model%3D2608%26sort%3Dyear_desc&yearfrom=2017&kmto=10000&yearto=2020&make=195&model=2608&sort=year_desc&vehtype=60&eventLabel=vehiclePosition%3A1%20%7C%20sortingOption%3Ayear_desc&packageName=member%3Ams24_professional&sortingPosition=1                                             	YMT-6400gray847        	bike	
